transaction_ref,customer_ref,customer_name,customer_success_rate,amount,payment_method,failure_code,retry_count,predicted_recovery_probability,recommended_action,actual_outcome,amount_recovered,timestamp
SIM-TXN-00049,CUST-0425,Rohan Deshmukh,54.94,3212.79,UPI,INSUFFICIENT_FUNDS,0,38.0,ESCALATE,SUCCESS,3212.79,2026-08-15 20:27:33.043570
SIM-TXN-00050,CUST-0472,Priya Patil,79.44,595.6,UPI,BANK_ERROR,0,70.0,RETRY,FAILED,0.0,2026-08-27 13:32:33.043570
SIM-TXN-00051,CUST-0337,Aditya More,49.93,3162.97,CARD,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-30 14:33:33.043570
SIM-TXN-00052,CUST-0498,Pooja Jadhav,53.37,1793.52,CARD,BANK_TIMEOUT,1,73.0,RETRY,SUCCESS,1793.52,2026-08-17 07:18:33.043570
SIM-TXN-00053,CUST-0081,Rahul Sharma,79.97,1420.07,NETBANKING,BANK_ERROR,2,45.0,STOP,NOT_ATTEMPTED,0.0,2026-08-28 22:12:33.043570
SIM-TXN-00054,CUST-0044,Sneha Kulkarni,65.97,3981.21,CARD,UNKNOWN,0,35.0,ESCALATE,FAILED,0.0,2026-08-04 01:19:33.043570
SIM-TXN-00055,CUST-0346,Neha Shah,61.72,5568.05,WALLET,BANK_TIMEOUT,2,58.0,STOP,NOT_ATTEMPTED,0.0,2026-08-21 02:06:33.043570
SIM-TXN-00056,CUST-0249,Kunal Patil,68.85,5141.11,WALLET,AUTH_FAILED,1,42.0,ESCALATE,SUCCESS,5141.11,2026-08-25 02:35:33.043570
SIM-TXN-00057,CUST-0059,Kunal Patil,81.06,1247.16,UPI,BANK_ERROR,1,70.0,RETRY,SUCCESS,1247.16,2026-08-28 18:49:33.043570
SIM-TXN-00058,CUST-0250,Ananya Kulkarni,89.51,1905.75,NETBANKING,AUTH_FAILED,0,52.0,NOTIFY,SUCCESS,1905.75,2026-08-29 01:35:33.043570
SIM-TXN-00059,CUST-0029,Kunal Patil,53.62,3181.19,NETBANKING,BANK_TIMEOUT,0,78.0,RETRY,SUCCESS,3181.19,2026-08-13 10:03:33.043570
SIM-TXN-00060,CUST-0149,Kunal Patil,91.6,5326.43,UPI,BANK_ERROR,1,70.0,RETRY,FAILED,0.0,2026-08-09 18:52:33.043570
SIM-TXN-00061,CUST-0067,Aditya More,91.14,1663.47,CARD,BANK_ERROR,2,50.0,STOP,NOT_ATTEMPTED,0.0,2026-08-27 05:14:33.043570
SIM-TXN-00062,CUST-0427,Aditya More,78.15,2103.74,NETBANKING,AUTH_FAILED,0,47.0,ESCALATE,SUCCESS,2103.74,2026-08-03 17:10:33.043570
SIM-TXN-00063,CUST-0224,Sneha Kulkarni,79.92,1007.2,UPI,BANK_TIMEOUT,1,78.0,RETRY,SUCCESS,1007.2,2026-08-27 21:16:33.043570
SIM-TXN-00064,CUST-0208,Pooja Jadhav,95.29,937.33,WALLET,INSUFFICIENT_FUNDS,1,43.0,ESCALATE,SUCCESS,937.33,2026-08-02 17:44:33.043570
SIM-TXN-00065,CUST-0495,Rohan Deshmukh,58.53,4675.17,WALLET,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-18 06:12:33.043570
SIM-TXN-00066,CUST-0046,Neha Shah,58.07,7222.76,UPI,BANK_ERROR,0,65.0,NOTIFY,SUCCESS,7222.76,2026-08-20 00:21:33.043570
SIM-TXN-00067,CUST-0269,Kunal Patil,73.53,2303.98,NETBANKING,BANK_TIMEOUT,2,58.0,STOP,NOT_ATTEMPTED,0.0,2026-08-17 05:48:33.043570
SIM-TXN-00068,CUST-0114,Sneha Kulkarni,50.19,5447.03,CARD,BANK_ERROR,0,65.0,NOTIFY,SUCCESS,5447.03,2026-08-06 23:30:33.043570
SIM-TXN-00069,CUST-0272,Priya Patil,68.1,3259.43,NETBANKING,AUTH_FAILED,1,42.0,ESCALATE,FAILED,0.0,2026-08-31 03:57:33.043570
SIM-TXN-00070,CUST-0418,Pooja Jadhav,88.12,1456.66,UPI,BANK_TIMEOUT,0,88.0,RETRY,SUCCESS,1456.66,2026-08-09 16:28:33.043570
SIM-TXN-00071,CUST-0309,Kunal Patil,48.65,3258.81,UPI,BANK_TIMEOUT,0,78.0,RETRY,FAILED,0.0,2026-08-30 08:51:33.043570
SIM-TXN-00072,CUST-0253,Amit Joshi,59.55,8353.44,WALLET,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-27 11:32:33.043570
SIM-TXN-00073,CUST-0330,Ananya Kulkarni,82.16,2371.65,NETBANKING,AUTH_FAILED,2,27.0,STOP,NOT_ATTEMPTED,0.0,2026-08-16 04:16:33.043570
SIM-TXN-00074,CUST-0078,Pooja Jadhav,49.54,8533.16,WALLET,BANK_ERROR,1,60.0,NOTIFY,SUCCESS,8533.16,2026-08-14 06:59:33.043570
SIM-TXN-00075,CUST-0303,Amit Joshi,49.03,300.13,UPI,BANK_TIMEOUT,1,73.0,RETRY,SUCCESS,300.13,2026-08-03 12:02:33.043570
SIM-TXN-00076,CUST-0030,Ananya Kulkarni,56.1,4710.37,NETBANKING,BANK_ERROR,0,65.0,NOTIFY,SUCCESS,4710.37,2026-08-05 21:35:33.043570
SIM-TXN-00077,CUST-0315,Rohan Deshmukh,54.34,2616.62,WALLET,AUTH_FAILED,1,37.0,ESCALATE,FAILED,0.0,2026-08-03 15:46:33.043570
SIM-TXN-00078,CUST-0231,Rahul Sharma,97.15,1921.37,CARD,UNKNOWN,1,35.0,ESCALATE,FAILED,0.0,2026-08-24 14:35:33.043570
SIM-TXN-00079,CUST-0078,Pooja Jadhav,49.54,2626.5,WALLET,UNKNOWN,0,30.0,ESCALATE,FAILED,0.0,2026-08-17 10:05:33.043570
SIM-TXN-00080,CUST-0366,Neha Shah,75.58,497.67,CARD,BANK_TIMEOUT,0,83.0,RETRY,SUCCESS,497.67,2026-08-21 17:06:33.043570
SIM-TXN-00081,CUST-0225,Rohan Deshmukh,72.32,2047.27,CARD,AUTH_FAILED,1,42.0,ESCALATE,SUCCESS,2047.27,2026-08-14 15:57:33.043570
SIM-TXN-00082,CUST-0199,Kunal Patil,47.03,3247.66,NETBANKING,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-29 00:01:33.043570
SIM-TXN-00083,CUST-0027,Aditya More,65.15,7961.04,NETBANKING,INSUFFICIENT_FUNDS,0,43.0,ESCALATE,SUCCESS,7961.04,2026-08-27 04:24:33.043570
SIM-TXN-00084,CUST-0348,Pooja Jadhav,55.15,1612.25,NETBANKING,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 16:06:33.043570
SIM-TXN-00085,CUST-0494,Sneha Kulkarni,78.81,1278.2,CARD,UNKNOWN,1,30.0,ESCALATE,SUCCESS,1278.2,2026-08-08 05:26:33.043570
SIM-TXN-00086,CUST-0470,Ananya Kulkarni,48.97,1633.69,WALLET,BANK_ERROR,0,65.0,NOTIFY,SUCCESS,1633.69,2026-08-05 15:30:33.043570
SIM-TXN-00087,CUST-0159,Kunal Patil,56.16,5076.22,NETBANKING,AUTH_FAILED,0,42.0,ESCALATE,FAILED,0.0,2026-08-25 17:55:33.043570
SIM-TXN-00088,CUST-0048,Pooja Jadhav,67.71,3174.8,WALLET,AUTH_FAILED,2,22.0,STOP,NOT_ATTEMPTED,0.0,2026-08-18 06:10:33.043570
SIM-TXN-00089,CUST-0010,Ananya Kulkarni,76.23,1597.49,CARD,BANK_ERROR,0,70.0,RETRY,SUCCESS,1597.49,2026-08-23 22:06:33.043570
SIM-TXN-00090,CUST-0099,Kunal Patil,83.34,3679.8,CARD,BANK_TIMEOUT,0,88.0,RETRY,SUCCESS,3679.8,2026-08-06 09:26:33.043570
SIM-TXN-00091,CUST-0260,Ananya Kulkarni,66.99,2637.7,UPI,INSUFFICIENT_FUNDS,2,18.0,STOP,NOT_ATTEMPTED,0.0,2026-08-17 02:48:33.043570
SIM-TXN-00092,CUST-0449,Kunal Patil,59.16,5297.11,CARD,INSUFFICIENT_FUNDS,2,13.0,STOP,NOT_ATTEMPTED,0.0,2026-08-18 22:26:33.043570
SIM-TXN-00093,CUST-0079,Kunal Patil,88.25,1391.81,CARD,BANK_TIMEOUT,2,63.0,STOP,NOT_ATTEMPTED,0.0,2026-08-21 17:01:33.043570
SIM-TXN-00094,CUST-0023,Amit Joshi,75.6,1877.83,CARD,BANK_ERROR,1,65.0,NOTIFY,SUCCESS,1877.83,2026-08-22 05:18:33.043570
SIM-TXN-00095,CUST-0120,Ananya Kulkarni,65.09,1783.47,NETBANKING,AUTH_FAILED,1,42.0,ESCALATE,FAILED,0.0,2026-08-10 14:53:33.043570
SIM-TXN-00096,CUST-0189,Kunal Patil,55.58,756.87,WALLET,AUTH_FAILED,1,37.0,ESCALATE,FAILED,0.0,2026-08-19 04:04:33.043570
SIM-TXN-00097,CUST-0258,Pooja Jadhav,65.3,3093.0,CARD,AUTH_FAILED,0,47.0,ESCALATE,FAILED,0.0,2026-08-08 02:08:33.043570
SIM-TXN-00098,CUST-0447,Aditya More,85.95,3007.44,WALLET,BANK_TIMEOUT,1,83.0,RETRY,SUCCESS,3007.44,2026-08-06 11:01:33.043570
SIM-TXN-00099,CUST-0365,Rohan Deshmukh,66.24,2450.61,UPI,INSUFFICIENT_FUNDS,1,38.0,ESCALATE,SUCCESS,2450.61,2026-08-09 02:04:33.043570
SIM-TXN-00100,CUST-0140,Ananya Kulkarni,80.5,2022.99,CARD,BANK_ERROR,1,70.0,RETRY,SUCCESS,2022.99,2026-08-11 21:29:33.043570
SIM-TXN-00101,CUST-0419,Kunal Patil,46.94,786.59,NETBANKING,BANK_ERROR,0,65.0,NOTIFY,SUCCESS,786.59,2026-08-19 20:00:33.043570
SIM-TXN-00102,CUST-0258,Pooja Jadhav,65.3,1743.21,WALLET,BANK_ERROR,0,70.0,RETRY,SUCCESS,1743.21,2026-08-03 01:45:33.043570
SIM-TXN-00103,CUST-0164,Sneha Kulkarni,88.96,1855.35,NETBANKING,UNKNOWN,0,40.0,ESCALATE,SUCCESS,1855.35,2026-08-14 20:18:33.043570
SIM-TXN-00104,CUST-0470,Ananya Kulkarni,48.97,1284.57,CARD,INSUFFICIENT_FUNDS,2,13.0,STOP,NOT_ATTEMPTED,0.0,2026-08-23 03:21:33.043570
SIM-TXN-00105,CUST-0230,Ananya Kulkarni,46.29,2145.16,UPI,AUTH_FAILED,0,42.0,ESCALATE,SUCCESS,2145.16,2026-08-08 14:16:33.043570
SIM-TXN-00106,CUST-0281,Rahul Sharma,65.09,3371.93,WALLET,UNKNOWN,0,35.0,ESCALATE,FAILED,0.0,2026-08-12 14:31:33.043570
SIM-TXN-00107,CUST-0155,Rohan Deshmukh,94.76,11036.34,CARD,BANK_TIMEOUT,1,83.0,RETRY,SUCCESS,11036.34,2026-08-30 03:14:33.043570
SIM-TXN-00108,CUST-0235,Rohan Deshmukh,71.2,2806.41,WALLET,BANK_TIMEOUT,2,58.0,STOP,NOT_ATTEMPTED,0.0,2026-08-26 04:28:33.043570
SIM-TXN-00109,CUST-0009,Kunal Patil,67.23,2999.02,CARD,AUTH_FAILED,2,22.0,STOP,NOT_ATTEMPTED,0.0,2026-08-08 07:47:33.043570
SIM-TXN-00110,CUST-0150,Ananya Kulkarni,60.1,2299.49,NETBANKING,BANK_ERROR,0,70.0,RETRY,SUCCESS,2299.49,2026-08-10 07:33:33.043570
SIM-TXN-00111,CUST-0341,Rahul Sharma,73.14,525.83,NETBANKING,AUTH_FAILED,0,47.0,ESCALATE,FAILED,0.0,2026-08-26 13:14:33.043570
SIM-TXN-00112,CUST-0260,Ananya Kulkarni,66.99,2389.38,UPI,INSUFFICIENT_FUNDS,1,38.0,ESCALATE,FAILED,0.0,2026-08-03 18:31:33.043570
SIM-TXN-00113,CUST-0326,Neha Shah,90.1,2561.08,NETBANKING,BANK_ERROR,1,70.0,RETRY,FAILED,0.0,2026-08-18 01:00:33.043570
SIM-TXN-00114,CUST-0404,Sneha Kulkarni,57.13,17511.16,CARD,BANK_TIMEOUT,2,53.0,STOP,NOT_ATTEMPTED,0.0,2026-08-31 16:41:33.043570
SIM-TXN-00115,CUST-0322,Priya Patil,59.78,2092.49,NETBANKING,BANK_TIMEOUT,0,78.0,RETRY,SUCCESS,2092.49,2026-08-26 15:21:33.043570
SIM-TXN-00116,CUST-0174,Sneha Kulkarni,61.34,3106.46,CARD,INSUFFICIENT_FUNDS,2,18.0,STOP,NOT_ATTEMPTED,0.0,2026-08-22 22:27:33.043570
SIM-TXN-00117,CUST-0357,Aditya More,60.48,2373.76,CARD,BANK_ERROR,0,70.0,RETRY,SUCCESS,2373.76,2026-08-22 14:52:33.043570
SIM-TXN-00118,CUST-0019,Kunal Patil,51.62,958.2,UPI,BANK_TIMEOUT,0,78.0,RETRY,FAILED,0.0,2026-08-16 03:40:33.043570
SIM-TXN-00119,CUST-0478,Pooja Jadhav,78.45,6089.12,WALLET,BANK_ERROR,2,45.0,STOP,NOT_ATTEMPTED,0.0,2026-08-23 08:02:33.043570
SIM-TXN-00120,CUST-0130,Ananya Kulkarni,53.34,4453.95,CARD,BANK_TIMEOUT,1,73.0,RETRY,SUCCESS,4453.95,2026-08-03 23:10:33.043570
SIM-TXN-00121,CUST-0444,Sneha Kulkarni,65.33,4595.47,NETBANKING,AUTH_FAILED,0,47.0,ESCALATE,FAILED,0.0,2026-08-21 16:14:33.043570
SIM-TXN-00122,CUST-0456,Neha Shah,64.99,1179.08,WALLET,BANK_ERROR,1,65.0,NOTIFY,SUCCESS,1179.08,2026-08-10 07:01:33.043570
SIM-TXN-00123,CUST-0255,Rohan Deshmukh,59.4,7496.83,NETBANKING,INSUFFICIENT_FUNDS,2,13.0,STOP,NOT_ATTEMPTED,0.0,2026-08-13 22:17:33.043570
SIM-TXN-00124,CUST-0411,Rahul Sharma,78.64,795.14,WALLET,BANK_TIMEOUT,0,83.0,RETRY,SUCCESS,795.14,2026-08-10 00:04:33.043570
SIM-TXN-00125,CUST-0280,Ananya Kulkarni,54.63,3902.94,UPI,BANK_TIMEOUT,0,78.0,RETRY,SUCCESS,3902.94,2026-08-15 05:53:33.043570
SIM-TXN-00126,CUST-0157,Aditya More,84.35,14077.94,WALLET,BANK_ERROR,0,75.0,RETRY,SUCCESS,14077.94,2026-08-17 18:56:33.043570
SIM-TXN-00127,CUST-0229,Kunal Patil,87.75,1104.97,NETBANKING,BANK_TIMEOUT,2,63.0,STOP,NOT_ATTEMPTED,0.0,2026-08-21 14:02:33.043570
SIM-TXN-00128,CUST-0141,Rahul Sharma,57.65,1551.48,UPI,AUTH_FAILED,0,42.0,ESCALATE,FAILED,0.0,2026-08-20 06:39:33.043570
SIM-TXN-00129,CUST-0187,Aditya More,65.27,2643.14,CARD,AUTH_FAILED,0,47.0,ESCALATE,SUCCESS,2643.14,2026-08-29 10:35:33.043570
SIM-TXN-00130,CUST-0348,Pooja Jadhav,55.15,1631.44,UPI,INSUFFICIENT_FUNDS,0,38.0,ESCALATE,SUCCESS,1631.44,2026-08-31 03:39:33.043570
SIM-TXN-00131,CUST-0188,Pooja Jadhav,90.51,705.9,UPI,BANK_ERROR,2,50.0,STOP,NOT_ATTEMPTED,0.0,2026-08-08 18:33:33.043570
SIM-TXN-00132,CUST-0348,Pooja Jadhav,55.15,2578.21,NETBANKING,BANK_ERROR,1,60.0,NOTIFY,SUCCESS,2578.21,2026-08-05 06:56:33.043570
SIM-TXN-00133,CUST-0294,Sneha Kulkarni,74.89,1043.31,NETBANKING,BANK_TIMEOUT,1,78.0,RETRY,SUCCESS,1043.31,2026-08-14 11:22:33.043570
SIM-TXN-00134,CUST-0128,Pooja Jadhav,48.03,3564.84,UPI,UNKNOWN,2,5.0,STOP,NOT_ATTEMPTED,0.0,2026-08-10 06:10:33.043570
SIM-TXN-00135,CUST-0256,Neha Shah,92.33,1169.65,UPI,AUTH_FAILED,1,47.0,ESCALATE,FAILED,0.0,2026-08-22 02:24:33.043570
SIM-TXN-00136,CUST-0110,Ananya Kulkarni,73.42,8433.33,NETBANKING,UNKNOWN,2,10.0,STOP,NOT_ATTEMPTED,0.0,2026-08-24 03:29:33.043570
SIM-TXN-00137,CUST-0103,Amit Joshi,79.93,1304.27,UPI,BANK_TIMEOUT,1,78.0,RETRY,SUCCESS,1304.27,2026-08-22 01:08:33.043570
SIM-TXN-00138,CUST-0045,Rohan Deshmukh,52.57,1886.26,NETBANKING,INSUFFICIENT_FUNDS,2,13.0,STOP,NOT_ATTEMPTED,0.0,2026-08-17 14:26:33.043570
SIM-TXN-00139,CUST-0364,Sneha Kulkarni,51.05,4678.88,NETBANKING,BANK_TIMEOUT,1,73.0,RETRY,SUCCESS,4678.88,2026-08-30 19:30:33.043570
SIM-TXN-00140,CUST-0090,Ananya Kulkarni,56.91,911.7,CARD,INSUFFICIENT_FUNDS,0,38.0,ESCALATE,FAILED,0.0,2026-08-08 02:39:33.043570
SIM-TXN-00141,CUST-0122,Priya Patil,60.12,2927.69,UPI,INSUFFICIENT_FUNDS,1,38.0,ESCALATE,FAILED,0.0,2026-08-18 13:54:33.043570
SIM-TXN-00142,CUST-0240,Ananya Kulkarni,69.62,6944.56,CARD,INSUFFICIENT_FUNDS,2,18.0,STOP,NOT_ATTEMPTED,0.0,2026-08-05 17:08:33.043570
SIM-TXN-00143,CUST-0034,Sneha Kulkarni,53.66,674.53,WALLET,BANK_ERROR,2,40.0,STOP,NOT_ATTEMPTED,0.0,2026-08-20 11:39:33.043570
SIM-TXN-00144,CUST-0394,Sneha Kulkarni,87.01,2829.08,UPI,BANK_ERROR,0,75.0,RETRY,FAILED,0.0,2026-08-31 00:34:33.043570
SIM-TXN-00145,CUST-0038,Pooja Jadhav,57.14,3004.62,NETBANKING,BANK_ERROR,0,65.0,NOTIFY,FAILED,0.0,2026-08-26 21:08:33.043570
SIM-TXN-00146,CUST-0328,Pooja Jadhav,87.29,4561.73,CARD,AUTH_FAILED,1,47.0,ESCALATE,FAILED,0.0,2026-08-04 07:29:33.043570
SIM-TXN-00147,CUST-0426,Neha Shah,78.0,907.27,CARD,BANK_TIMEOUT,1,78.0,RETRY,SUCCESS,907.27,2026-08-16 11:23:33.043570
SIM-TXN-00148,CUST-0479,Kunal Patil,97.86,848.64,NETBANKING,INSUFFICIENT_FUNDS,2,23.0,STOP,NOT_ATTEMPTED,0.0,2026-08-14 17:13:33.043570
SIM-TXN-00149,CUST-0434,Sneha Kulkarni,74.19,3705.43,CARD,BANK_TIMEOUT,2,58.0,STOP,NOT_ATTEMPTED,0.0,2026-08-26 20:37:33.043570
SIM-TXN-00150,CUST-0141,Rahul Sharma,57.65,3095.14,NETBANKING,BANK_TIMEOUT,2,53.0,STOP,NOT_ATTEMPTED,0.0,2026-08-26 01:40:33.043570
